date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:46	5088/5088	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:45%20GMT	http://yswantou.com/style/css/img/smallimgbg1.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/smallimgbg1.99.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:46	5074/5074	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:45%20GMT	http://yswantou.com/style/css/img/ico6.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/ico6.9a.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:46	5090/5090	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:45%20GMT	http://yswantou.com/style/css/img/u_invitation.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/u_invitation.9b.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:46	5076/5076	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2018:05:45%20GMT	http://yswantou.com/style/css/img/ad_bg.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/ad_bg.9c.delayed	(from http://yswantou.com/style/css/temp.css)
02:05:47	37618/37618	---M--	200	added ('OK')	image/jpeg	etag:%22073bb79e85dd31:0%22	http://yswantou.com/style/images/2b6f4eef472f49adafa684c1773518ec.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/images/2b6f4eef472f49adafa684c1773518ec.jpg	(from http://yswantou.com/)
02:05:47	10666/10666	---M--	200	added ('OK')	image/jpeg	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/submenu-h2.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/submenu-h2.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:47	1394/1394	---M--	200	added ('OK')	image/jpeg	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/submenu-h4.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/submenu-h4.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:48	1225/1225	---M--	200	added ('OK')	image/jpeg	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/submenu-li.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/submenu-li.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:48	10292/10292	---M--	200	added ('OK')	image/jpeg	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/submenu-h3.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/submenu-h3.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:48	1442/1442	---M--	200	added ('OK')	image/png	etag:%220c3323d81f9d21:0%22	http://yswantou.com/style/css/img/hf-btn.png	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/hf-btn.png	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:49	1650/1650	---M--	200	added ('OK')	image/gif	etag:%220c3323d81f9d21:0%22	http://yswantou.com/style/css/img/li-tit.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/li-tit.gif	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:49	1216/1216	---M--	200	added ('OK')	image/gif	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/ys-btn.gif	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/ys-btn.gif	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:50	1000/1000	---M--	200	added ('OK')	image/png	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/line.png	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/line.png	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:50	3654/3654	---M--	200	added ('OK')	image/jpeg	etag:%220c3323d81f9d21:0%22	http://yswantou.com/style/css/img/hf2-bg.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/hf2-bg.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:52	7997/7997	---M--	200	added ('OK')	image/jpeg	etag:%220c3323d81f9d21:0%22	http://yswantou.com/style/css/img/customer-more.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/customer-more.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
02:05:52	1214/1214	---M--	200	added ('OK')	image/jpeg	etag:%220f0633e81f9d21:0%22	http://yswantou.com/style/css/img/rz-bg.jpg	C:/My%20Web%20Sites/yswantou.com/yswantou.com/style/css/img/rz-bg.jpg	(from http://yswantou.com/style/css/resetcommonindex.css)
